id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
47,8.27396,-0.184317,-0.141819,8.42354,7.41947,0.00740958,4.23123,-0.104795,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
48,6.49839,-0.132704,-0.164065,6.1873,7.43414,0.00385044,4.14381,-0.19701,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
49,2.98497,-0.220005,-0.13044,4.82543,7.40073,0.00671387,2.34691,-0.00475743,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
50,2.72354,-0.104899,-0.172569,5.48887,7.39948,0.00675683,3.12242,-0.166776,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
51,3.96269,0.0247959,-0.155965,18.0066,7.40231,-0.000876563,4.97522,-0.142766,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
52,3.59916,-0.224297,-0.149237,54.6401,7.36104,-0.00222945,4.15479,-0.043405,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
53,3.82286,-0.250771,-0.0719796,30.1262,7.3956,0.00346275,3.85579,-0.0859583,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
54,1.66969,-0.107049,-0.175655,6.7404,7.45533,0.00471151,4.23825,-0.176372,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
55,5.59155,-0.105238,-0.179587,5.05082,7.33447,0.00751636,3.18318,-0.138483,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
56,4.85192,-0.107301,-0.182944,5.49752,7.42048,0.00296895,4.52325,-0.0741566,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
57,6.21844,-0.187404,-0.13543,9.06693,7.38446,0.00328014,3.71518,-0.180355,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
58,3.9636,-0.126982,-0.173681,5.61844,7.37028,0.00283785,3.89314,-0.241156,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
59,4.17828,-0.185037,-0.134484,5.92321,7.34299,0.0100335,4.39666,-0.430573,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
60,5.76183,-0.147541,-0.152018,9.32907,7.37288,0.00407002,4.17287,-0.214265,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
61,2.55639,-0.180133,-0.154884,4.18623,7.40126,0.00081003,3.70337,-0.0864391,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
62,3.7495,-0.167005,-0.158532,5.13919,7.34849,0.00237601,4.79382,-0.0467791,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
63,5.81234,-0.169395,-0.138425,4.47115,7.41548,0.00225053,5.42743,-0.171018,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
64,6.83126,-0.189813,-0.16005,4.62728,7.38062,0.00625274,4.56239,-0.0234963,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
65,0.430403,-0.20076,-0.141459,2.15636,7.42097,-0.000613544,4.25847,0.0190069,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
66,5.14194,-0.127305,-0.173722,5.01822,7.4448,0.00502987,4.28155,-0.196895,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
67,2.33894,-0.171765,-0.161016,3.73132,7.42922,0.00800733,2.86282,-0.298833,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
68,3.60767,-0.154912,-0.159199,4.76615,7.33882,0.00441536,3.20576,-0.140084,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
69,1.43217,-0.0688533,-0.182778,8.01882,7.38338,-0.00685903,3.18236,-0.159233,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
70,2.00645,-0.155852,-0.174223,4.88056,7.35547,-0.00101186,3.37024,0.0492114,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
71,7.36302,-0.157952,-0.150636,6.6426,7.35567,0.00218004,2.76022,-0.27705,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
72,6.14909,-0.152174,-0.151602,9.40445,7.38494,0.00221443,5.6265,-0.119411,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
73,6.39881,-0.138917,-0.152109,4.31404,7.39605,0.00913674,4.44823,-0.366418,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
74,2.95002,-0.111482,-0.175874,5.0174,7.402,0.00383386,4.25354,-0.192703,0.0281621,0.0621081,0.730808,0.155215,0.166904,-11.9069,0.939111,-0.0927064,3.86144,-0.278515
