id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
39,2.22085,-0.0226304,0.00222432,-0.271412,0.0388241,0.00031131,-0.606722,0.102504,-1.04778,0.0449256,-46.1748,-0.518579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-2.03027,-0.00585371,0.00459968,-0.0462987,-0.034706,-0.00028093,0.93195,-0.0442141,3.83262,-0.00220417,-22.8577,-0.1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.55108,-0.0178886,-0.00392376,-0.528917,-0.00287145,-0.00152651,-1.02647,0.0511497,0.228998,-0.0881992,-24.3765,0.191053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-1.5064,-0.0213788,-0.00646973,-0.730819,-0.0844711,0.000357437,-1.56583,0.0350462,-0.663748,-0.0198407,87.6558,1.5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0682926,-0.0103088,0.00185483,0.00743095,-0.00556383,0.000738934,-0.470345,-0.0145533,-1.07925,-0.00135731,120.34,-0.013952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-1.12865,-0.0183955,0.00282548,-0.308146,-0.0303377,-0.00119388,-0.391438,-0.0865663,-0.766202,0.0018397,25.2129,-0.0325566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.65182,0.0905614,-0.00456888,0.0485454,-0.0143212,0.000508106,-0.822142,0.00123178,-1.15097,0.00346236,128.638,-0.248745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.607147,-0.015252,0.00207662,0.057428,-0.00588822,0.000750245,-0.28089,-0.0102795,-2.75207,0.00318128,62.9255,0.0741022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.55826,0.137322,0.0145949,0.450821,0.0493015,0.00470113,0.0323638,0.271906,-0.519883,0.0523643,49.138,-0.87047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.758487,0.0154659,-0.0124278,-0.27801,-0.0130828,0.00126339,1.10682,-0.0974149,-2.37084,0.0177632,-40.435,0.00267075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-1.98965,-0.0153339,-0.00139651,-0.461315,0.00604363,0.0010742,-0.0847558,0.0692267,0.145664,-0.00852182,-35.6539,-0.650771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.669506,0.000251472,0.0032834,-0.632021,-0.000806393,0.00534915,0.000766236,-0.117747,0.458596,0.0331577,124.995,0.874915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.35183,0.0137883,-0.0117879,-0.296758,0.0125482,-0.00150744,-1.27176,-0.258685,-0.818273,-0.0355567,-87.4883,-6.43313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-0.933223,0.18594,0.0091837,0.304932,0.00316557,-0.00347884,-0.0740207,-0.0557315,0.60622,-0.0250112,-130.382,3.64302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.49256,0.0185888,0.000404832,-0.203679,-0.0514296,-0.00288936,-0.664599,-0.0253381,3.21579,-0.0105603,93.3094,0.357479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.592914,0.0751023,0.00427155,-0.516523,0.022033,0.006526,0.927603,-0.284675,-1.85058,0.0983323,-48.7458,0.722122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-0.424055,-0.0412433,0.00341563,-0.426941,-0.00760255,-0.0125485,-0.0310261,0.209324,-4.1663,-0.209814,-15.9026,0.298861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-1.10064,-0.00797994,-0.000154556,-0.270096,-0.0112213,0.00103968,-0.432009,0.00146891,-2.25603,-0.014857,143.104,0.522595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-1.17276,0.0261499,-0.00593481,-0.272241,0.0160113,-0.000209543,-0.225748,0.0395394,0.689779,0.00781588,45.042,0.067009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.585262,0.0378417,-0.0125997,0.115076,-0.0322473,-0.000386893,0.561804,-0.0519164,1.20732,-0.00322314,77.8612,-0.0116312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-0.435079,-0.0191928,0.00311331,-0.124119,0.035027,0.000122049,0.502806,-0.0160422,-0.0708496,-0.00274293,121.728,-0.0164478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.701276,0.0901516,-0.0271228,1.29033,0.0103947,-0.00173959,0.293737,0.117308,-1.07071,-0.0204266,-11.1758,0.198453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3.1233,-0.03365,0.0109498,-0.0902849,-0.0123959,0.000451682,0.282581,-0.0462628,3.19403,0.00421472,14.9474,-0.103156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2.45497,0.0626299,-0.00530901,0.589757,-0.0077312,0.00111156,0.979969,-0.0321874,-1.04336,-0.0582417,45.7802,0.50831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-0.898145,-0.0184194,0.00275227,-0.448251,0.0223106,0.0026713,0.499979,0.064253,-2.46614,0.00827323,100.111,0.0855405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-3.60445,-0.0498264,0.00328839,-0.780713,-0.0726975,-0.00174215,0.530563,0.0346327,0.667663,-0.0212663,-41.8435,-0.760489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.4503,-0.065011,0.0101744,0.167544,0.0266773,0.00152555,-1.11316,-0.10996,-1.51591,-0.0167867,272.597,0.615976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-4.21513,-0.10422,0.0269398,1.25655,-0.0388696,-0.00308309,-1.12507,-0.144339,-0.781575,-0.0211503,3.90433,0.582696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-2.81565,0.129692,-0.0289271,2.12378,-0.0486126,-0.00188103,0.0551322,0.208202,0.775078,-0.0115372,80.181,0.119053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.80803,0.0518986,-0.00530199,0.483551,-0.0169982,-0.00222091,0.637451,0.0383542,-2.15574,-0.0036742,-2.40008,0.392989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.0330876,0.0865531,-0.0184874,1.60861,-0.0298985,0.00359174,-0.592917,-0.0324283,-2.55971,0.0400331,-10.1801,-1.07825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2.20556,-0.00363111,-0.00760536,-0.554552,-0.0556644,-0.00343709,1.40282,-0.0639177,-3.30122,-0.0644181,-107.033,0.0752443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2.7681,0.0042738,-0.0168155,-0.362314,0.0236719,0.00545905,0.231867,0.0313278,-0.640141,0.0565493,-143.85,1.36313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,-1.96917,-0.00916778,-0.000959067,-0.545665,0.0155,0.00254294,-1.23077,-0.102232,-1.97332,0.0602411,100.351,0.102191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,-0.0843446,-0.0401335,0.00554009,-0.14877,-0.0243947,-0.000449273,0.288189,-0.00936311,2.16777,0.0181765,1.00245,-0.113301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.90596,0.0658087,-0.0132349,0.98487,0.0167029,-0.000125103,-0.721701,0.0761782,-1.23923,-0.00321776,-94.0225,-0.332485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-1.5357,-0.0187231,0.00308912,0.132632,-0.00133553,0.000779863,0.78845,-0.000311002,1.58611,-0.00550308,25.6061,0.0930102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.879295,0.0145402,-0.00301579,-0.320013,-0.0233473,-0.00113476,-0.0262868,-0.0797088,0.47229,-0.0181932,76.8631,-0.121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-1.73193,-0.0388096,0.00679238,-0.516429,-0.0342315,0.000825689,-1.49021,-0.139647,1.34238,0.0184151,37.4852,0.401096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-2.23809,-0.0364223,0.00848253,-0.0442504,0.0600861,0.000500773,-0.808909,0.0593995,0.828214,0.0025958,30.56,0.460883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,-0.789348,0.0715567,-0.00995822,1.00434,-0.0113351,-0.000546235,0.772157,0.0361565,-1.95724,0.00663368,-72.8663,0.439285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.667028,0.00767127,-0.00774382,-0.47251,0.0124939,0.00442431,0.679111,0.0801038,1.53941,-0.00754696,-46.4979,0.240215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2.2005,0.0192111,-0.00980067,-0.446426,0.0250313,-0.00383207,0.929656,0.0891154,-2.22511,0.0126331,-124.333,1.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.402504,-0.0826489,0.020017,1.54388,0.0139288,0.0064971,1.15326,0.181862,0.494687,0.129816,16.9301,-0.905973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-0.79258,-0.000306972,-0.0010628,-0.463991,-0.0076089,-0.0011303,-0.0744558,0.0854936,0.776544,0.00888498,-23.9876,-0.209217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1.39474,-0.00130777,0.00177908,-0.544971,-0.0056878,-0.00135614,-0.377807,-0.0899603,1.73362,-0.0327487,4.01399,0.323867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,-0.416455,0.157331,0.00160438,1.12025,0.0094298,0.00373198,-0.682351,-0.215059,-0.830335,-0.0320734,12.8421,-0.250059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-0.874702,0.110865,-0.0139072,0.934141,-0.0112411,-0.00616658,0.0199505,-0.00143265,-2.39627,-0.130373,-236.263,-2.12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1.86108,0.000719262,0.00136021,-0.576337,-0.00902267,-0.00420509,0.671219,0.104819,2.67707,-0.0436286,72.5019,0.464621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,-1.01665,-0.0537015,0.0128087,0.29326,-0.0145585,-0.000314055,0.207492,0.0177076,-3.1083,0.00696818,-55.0571,0.100041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2.29605,0.0379451,-0.0226847,0.545396,-0.0120034,-0.00377414,-0.23416,-0.00114911,0.827812,0.0239016,26.0684,-4.24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.0399414,-0.00530717,0.0032854,-0.533524,-0.0607787,-0.00689841,-0.0851617,-0.0828263,-0.698387,-0.11139,1.49046,-0.304717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,-1.97314,-0.0316897,-0.00108997,-0.29803,0.0239581,0.00408203,0.374558,0.045416,0.480026,0.0146825,-91.3889,0.24956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2.54183,0.0296198,-0.00739512,0.270652,-0.033629,-0.00144486,-0.939232,0.0660641,-0.28319,-0.00275046,-43.0785,0.216474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,-0.950829,0.00838666,-0.00775451,-0.45061,-0.0217232,-0.00082945,-0.589264,-0.167866,2.14901,-0.0334385,44.4659,-0.158815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1.82948,0.040795,-0.00770629,0.568242,-0.0321475,-0.00147758,-0.346774,0.0305193,-1.37923,-0.00583549,-15.6245,0.224742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,-0.474346,-0.0558565,0.0116175,-0.0400668,0.0860289,0.00542335,-0.510873,0.216369,3.86466,0.092662,-46.2689,0.41165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,-1.41954,0.0138669,-0.00133541,-0.269521,-0.0254263,-0.0023113,1.32785,0.047009,1.2078,0.0023366,33.2881,0.0299855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.240865,0.0622064,-0.00878658,0.372308,-0.0207609,-0.000703986,0.0169267,0.0142925,4.22125,-0.00209249,-14.3697,0.247792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1.94167,-0.080441,0.0074482,-0.109916,-0.00813947,-0.0131372,-0.0524728,0.062335,-1.58373,-0.17886,-77.2835,5.66157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.63948,0.00885805,-0.00695915,-0.228051,0.0148825,0.000348757,-1.22179,-0.0498824,1.16468,0.0017202,81.7004,0.0886535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.265203,-0.108658,0.00840923,1.07357,0.0282073,0.00166659,0.0336699,0.0418713,2.71155,0.0279153,-109.618,-0.323961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1.55176,-0.0106746,0.00333332,-0.266774,0.0185858,0.000657967,-0.680922,0.0193893,0.490834,-0.016379,82.0745,0.736895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,-1.11688,-0.0591749,0.0252709,0.588112,-0.0753499,0.00473486,-2.14008,0.0670648,2.69706,0.0694385,-174.311,1.05591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,-0.015392,-0.00568561,-0.000413762,-0.50763,-0.0420885,-0.00473494,-0.948795,0.0405832,1.00046,-0.0353952,73.5864,-0.156048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.0112951,-0.0537656,0.0153713,-0.0141815,0.0286859,-0.00213884,1.01907,-0.0699511,2.18756,-0.0349411,-170.124,-2.09818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,-0.820797,0.0195064,-0.00478901,-0.270138,0.0081169,-0.00543163,0.727597,0.154579,-3.38561,-0.05232,112.658,2.73082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.556482,-0.0716678,0.00752833,0.00777228,0.032129,0.0101363,-0.0981217,0.114182,-0.400588,0.0538709,-180.769,-0.890604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,-1.23071,-0.0812533,0.00216432,-0.0913479,-0.0249314,-0.000980815,0.578004,-0.134373,-2.34818,0.00453163,-27.1456,1.60448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2.64739,-0.0337247,0.00576323,-0.188765,-0.0100671,-0.00168472,-0.344357,-0.0540914,-2.54557,0.0215472,40.5052,0.52631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.0629271,-0.00687014,0.00143012,-0.178794,0.0199829,0.000347866,-0.168464,-0.01721,0.475711,-0.0103817,76.3546,0.00917588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-2.62732,0.019386,-0.00170493,-0.205854,-0.0113992,-0.000847219,-0.302533,-0.00274892,-1.92636,0.00273077,-126.391,0.0947641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,-1.59606,-0.043717,0.00571368,-0.443144,-0.0541126,-0.00316602,-0.846954,0.263176,-0.59293,-0.0268216,-48.9265,-1.45359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.258954,-0.0686907,0.0218095,0.697311,-0.00729315,0.000344307,-0.224888,-0.04584,0.178523,0.0237826,-6.44208,-0.0446138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0.603113,0.246102,0.0127065,-0.387632,-0.0293105,0.012852,0.419467,-0.14325,0.434771,0.148434,122.728,-4.22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2.60136,-0.0142517,0.00787509,0.147251,-0.0169295,0.000767397,-0.147955,-0.0335194,0.64093,-0.00579863,63.3822,-0.217038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,-1.31789,-0.0537737,0.0874236,0.432301,-0.00734684,-0.0135242,-0.99205,-0.192579,-0.71514,-0.128348,101.413,0.555813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.641489,-0.0263204,-0.00348943,-0.48408,0.00253104,-0.00348253,-0.569887,-0.0809495,1.42717,-0.0400551,67.4557,-0.50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.776787,-0.00562574,-7.58349e-05,-0.372672,-0.0114428,-0.00081401,-0.441646,0.022963,0.133951,-0.0140305,-13.3058,0.340806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
