id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM
39,-0.00328895,-0.0283773,-0.00310158,-0.388382,-0.00645716,-0.00164457,0.932038,0.0427128,1.27817,0.0669309,0.75661,-0.0545081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-0.928161,0.0811803,-0.0214684,0.0410497,-0.00277957,-0.00086167,1.34009,0.042215,0.388668,0.00310275,0.0268395,0.0192104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-0.132836,-0.038687,-0.00160889,-0.347416,-0.0234024,0.000644817,0.309866,-0.215897,-0.0714524,-0.130407,-0.023415,-0.050893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-1.57479,0.0353699,-0.0185163,0.0469416,-0.0147023,-0.000865129,1.01914,0.0798412,1.2024,0.00450837,0.376925,0.00832228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-0.997434,-0.0287592,0.00363411,0.0103891,0.0275272,0.000518257,-1.5979,-0.00644338,0.364633,0.00127549,-0.589389,0.00127573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-1.4397,-0.0847896,-0.00453425,-0.158754,-0.0233191,0.00267334,-1.00458,-0.165997,-1.01583,-0.0910826,0.0888358,0.0593946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-2.22045,-0.153101,0.0628331,-0.057924,-0.0217173,0.00203213,0.909662,-0.223571,0.977773,-0.155013,0.204017,0.0628539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.69349,0.177361,0.0442737,0.59896,0.0589526,-0.00324351,-0.193726,-0.00811651,-0.296857,-0.0742134,0.363647,0.0996346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-0.262923,0.0590081,-0.0272791,0.00273498,0.0278047,0.00138913,-0.362279,0.0449386,-0.162204,-0.00900551,0.618348,0.0443834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-0.977481,-0.0124753,-0.00673894,-0.333162,0.0277549,0.0044495,0.305449,-0.187965,0.700235,-0.0506377,-0.483513,-0.0632422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.385653,-0.0101979,-0.0286455,-0.0614059,0.0198125,0.000136765,0.660387,0.133162,1.39909,0.0687371,-0.183758,0.0197501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1.7225,-0.0257826,-0.00286331,-0.0232567,0.00773201,-0.00013884,-0.471118,-0.0182773,-1.24225,-0.00158878,-0.462248,0.00267957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.113583,-0.0283751,-0.0307409,-0.340095,0.0178716,-2.23353e-05,0.183701,0.164094,0.421613,0.0946275,1.04509,-0.0840876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-0.871479,-0.023902,-0.0152868,-0.499131,0.0138228,0.000235004,-0.64608,0.0470628,-0.094744,0.0245459,-0.310473,0.0129238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.8007,-0.0123327,-0.00627225,-0.300162,0.0385745,-0.0108534,-0.0869405,-0.075385,-0.137689,-0.0558598,0.366547,-0.0401266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,-0.0129678,0.0402517,-0.0205995,-0.074573,-0.0177877,-0.00330276,0.727769,0.12883,0.451111,-0.0328907,0.0889297,0.00219799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-0.486147,-0.0587199,0.0454411,-0.172772,0.0944444,0.00658806,-0.101143,0.0704982,-0.210896,0.0075804,-0.653229,0.0567555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-0.0466385,0.0526128,-0.00728601,-0.211682,-0.00471266,0.00188753,0.264113,0.0314698,0.31605,-0.0288165,-0.531656,-0.0283016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-0.337168,-0.0429608,0.00956365,-0.300394,0.0403384,0.00626839,-0.555424,0.078576,-0.561313,0.110438,0.201228,0.012836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.478622,-0.0191264,-0.0102074,-0.210401,-0.0372891,-0.000189773,-2.11347,-0.0529016,-1.23559,-0.0207568,-0.804516,-0.0262546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1.37211,-0.0247359,-0.0112398,-0.324699,-0.0385498,-0.00273913,-0.238915,0.378757,0.353166,0.164901,0.688159,0.079228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-0.622246,0.039047,-0.0134513,-0.244241,0.0363265,0.00340362,-0.905323,-0.298294,-0.665266,-0.115254,-0.858804,-0.0506778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.68359,0.0177494,0.0240197,-0.238558,0.0140102,-0.00366348,0.806305,0.169064,0.538894,0.113828,-0.412159,-0.0124959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.125797,-0.0349047,-0.0100442,-0.382062,0.0414235,0.00494242,0.219765,0.0695746,0.0807918,0.0273483,-0.762446,-0.001463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-0.27113,0.148603,0.00653388,-0.098195,-0.0383422,0.00412943,0.132081,0.253656,0.973651,0.19396,0.642151,-0.165261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.567115,-0.0104194,-0.0284335,-0.184647,0.0549168,-0.000967131,-0.588603,0.0140236,-0.220157,-0.028364,0.539115,-0.148769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,-2.71247,-0.0140373,-0.00380756,-0.00409621,0.0517794,0.0002483,0.910029,-0.0252573,0.215613,0.000891582,0.88029,-0.00116712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.2553,-0.0169888,0.00258499,-0.236851,-0.00414291,0.0028445,0.212603,-0.309101,0.226785,-0.174213,0.0066838,-0.150144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-3.59675,-0.00559926,-0.0451213,-0.341651,-0.00480137,0.00329556,-0.236154,0.0789387,0.348712,0.00868546,0.302762,0.00438554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.0268517,-0.00843805,0.00133101,0.00740983,6.71095e-05,-0.00014128,-0.372615,0.0120403,0.367899,-0.00928374,0.172956,-0.00228952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.41144,0.151083,0.0292227,-0.00978944,-0.0124977,0.00287426,1.11245,-0.08593,0.559026,-0.0347758,-0.155797,0.0333568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.312124,-0.0320941,0.00311998,0.0388879,0.0699731,0.00206883,0.538397,-0.0124915,1.21218,0.00877296,-1.4491,0.00109707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,-0.38823,0.0139643,-0.0185669,-0.377381,-0.0114735,0.000890594,-0.333833,-0.21113,-0.632563,-0.0803755,-0.901563,0.0737451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.26029,-0.0295241,0.0054372,0.0471988,-0.0165502,-0.000126453,0.782086,-0.0385839,-0.317613,-0.0161393,-0.236378,-0.00528186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1.70461,-0.0270185,0.00482456,-0.200245,0.0109887,-0.00112869,1.21192,-0.170442,0.627229,0.0047559,-0.759647,-0.0132196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.27699,-0.0609415,0.0170428,-0.156518,-0.0207364,-0.00777623,-0.978465,0.234213,-0.420195,0.0642843,-0.433996,-0.0367657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-1.80878,-0.0778605,0.0192806,-0.201465,0.0422413,0.000962529,-1.192,-0.175975,-1.2281,-0.114802,-1.3098,-0.013706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.527878,0.00292778,-0.0107452,-0.160193,-0.0164796,0.000136471,-0.646241,-0.028636,-0.751923,-0.0113689,0.278689,0.0106807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.205372,-0.0202012,0.00568015,0.0242216,-0.00411355,0.000566403,0.313966,-0.00482291,0.32732,-0.00475969,-0.359916,-0.00845616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-0.432143,0.271162,-0.0057192,0.895007,0.0013441,0.00159671,-0.225452,0.212815,-0.45129,0.0993033,0.417129,0.111753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.42203,0.0135323,-0.0377723,0.10574,-0.0226235,0.0038337,-0.183074,-0.323374,-0.0180448,-0.176779,0.717589,-0.148445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-2.46396,0.0385329,-0.0142211,-0.0173504,-0.0654293,-0.00163797,0.17414,-0.0374608,0.114164,0.0562275,0.0453318,-0.0255026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.497833,-0.00131752,-0.0207711,-0.39032,-0.00789974,-0.000474804,-0.67086,0.116922,-0.443272,0.0700181,-0.920738,-0.0810551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2.10515,0.0119102,-0.0206308,-0.341047,-0.0233962,0.00533917,-0.0178747,-0.228778,-0.0951698,0.0071565,0.89434,-0.0269632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-3.98116,-0.127135,0.0512433,0.00515298,-0.0179656,0.000679466,0.0118157,-0.0442144,0.228417,0.0570819,-0.0136828,-0.0093708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1.00115,-0.0524683,-0.00851262,-0.256242,0.0272726,0.00263232,0.0865883,-0.0487348,0.937702,-0.0426573,0.0722387,-0.0601105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
