id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM
41,4.4026,-0.201186,-0.102677,3.13634,7.4194,0.00221278,4.08906,0.131351,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
42,3.84718,-0.160102,-0.106933,3.90573,7.43699,0.00911499,3.77705,0.0367617,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
43,4.77846,-0.23346,-0.107817,6.04779,7.35029,0.00268227,3.83397,-0.204945,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
44,5.93592,0.0296467,-0.117067,5.9985,7.41388,0.00997409,4.62402,-0.31586,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
45,6.40441,-0.209209,-0.110509,5.07854,7.43443,0.00178168,3.32501,-0.0560885,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
46,6.32044,-0.121775,-0.116547,4.00628,7.35652,0.00375631,2.92487,-0.431642,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
47,5.68812,-0.157532,-0.109767,6.61992,7.40388,0.00379826,4.15892,-0.169857,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
48,5.79654,-0.142744,-0.109003,4.19426,7.39402,0.00318078,4.09167,-0.15573,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
49,8.19404,-0.12403,-0.122426,3.90439,7.38757,-0.000793862,3.32123,-0.241027,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
50,4.27877,-0.0863539,-0.126495,4.61256,7.4379,0.00566908,4.13846,-0.485008,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
51,3.74342,-0.206364,-0.0845996,4.54602,7.38713,0.00213568,4.54728,-0.228201,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
52,2.2876,-0.137755,-0.111195,4.25381,7.44502,0.00375189,2.97685,-0.191463,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
53,5.79039,-0.171463,-0.104636,4.25364,7.3858,-0.00739148,3.14116,0.0233397,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
54,4.53283,-0.192278,-0.116273,3.84079,7.38069,-0.00223884,4.71362,-0.234545,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
55,6.8051,-0.171952,-0.103478,4.48521,7.37366,0.00673166,3.12779,-0.29645,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
56,4.37668,-0.122398,-0.121022,4.30433,7.39034,0.00160051,4.14387,-0.123394,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
57,2.37072,-0.165895,-0.114803,6.44726,7.42648,0.00288827,3.77178,-0.179281,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
58,6.44193,-0.0932595,-0.12226,5.31625,7.4421,0.00556595,4.88232,-0.148385,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
59,5.06319,-0.152294,-0.112934,6.39597,7.40533,0.00358642,3.27748,-0.166164,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
60,6.80929,-0.167995,-0.108105,4.6198,7.38197,0.003255,4.39666,-0.163922,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
61,2.24895,-0.43727,-0.128503,8.06244,7.40276,0.00252854,3.86168,-0.102183,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
62,6.91518,-0.114735,-0.122891,4.75021,7.37888,0.000172875,4.23162,-0.191918,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
63,3.40593,-0.157531,-0.11156,3.28637,7.41808,0.00269781,4.97125,-0.188732,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
64,4.44879,-0.167164,-0.0991737,5.58861,7.37003,0.0035208,5.57985,-0.174749,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
65,7.40463,-0.11194,-0.124273,3.94148,7.4713,0.000902502,3.97522,-0.318292,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
66,2.44208,0.0934304,-0.112157,1.01494,7.41398,-0.00204671,4.32282,-0.12699,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
67,3.35017,0.160454,-0.107835,4.28538,7.32954,0.00679744,4.72569,-0.200435,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
68,4.1516,-0.140605,-0.113373,4.0185,7.39153,0.00236583,4.46051,-0.269068,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
69,4.56005,-0.0765079,-0.118984,4.39411,7.41294,0.0050404,4.38747,-0.0484228,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
70,4.71433,0.00244676,-0.140335,14.2199,7.44056,-0.00305618,4.45937,0.0531102,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
71,2.09229,-0.159574,-0.109701,6.48437,7.47481,0.00279246,5.62578,-0.158817,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
72,5.05331,-0.160479,-0.112041,4.72485,7.45565,0.00356864,5.20338,-0.165466,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
73,5.12244,-0.188261,-0.056525,12.6339,7.40784,-0.00460419,4.42205,-0.12839,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
74,3.75546,0.00740061,-0.113499,9.25692,7.37695,0.00463437,4.31628,-0.0708066,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
75,3.16638,-0.0462226,-0.117831,5.37446,7.41858,-0.00308083,3.65877,-0.0841954,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
76,3.11686,-0.188924,-0.108732,3.21366,7.43402,0.00154484,3.40746,-0.0582985,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
77,7.31675,-0.129238,-0.117634,5.01603,7.44652,0.00436078,5.26979,-0.0942995,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
78,4.93711,-0.097763,-0.130669,5.15966,7.37655,0.0114144,3.72724,0.082468,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
79,5.03723,-0.161726,-0.113077,7.22296,7.41617,0.00437148,3.07098,-0.165106,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
80,4.17092,-0.117809,-0.11293,3.31225,7.40276,0.00981907,5.83849,-0.12417,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
81,3.62157,-0.157454,-0.109712,7.88414,7.44325,0.00439994,4.21106,-0.160881,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
82,5.15237,-0.120021,-0.130816,4.91427,7.47742,0.00511184,5.27115,-0.132064,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
83,5.3119,-0.134229,-0.114856,4.15129,7.43591,0.00558223,3.37736,-0.308332,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
84,5.15608,-0.220739,-0.0951532,7.31917,7.44558,0.00443407,2.45786,-0.331108,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
85,4.8057,-0.193243,-0.103248,4.5903,7.37947,0.00246496,4.19037,-0.197923,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
86,4.15846,-0.143879,-0.116433,4.35005,7.38373,0.00378938,4.04807,-0.258505,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
87,7.67409,-0.102064,-0.119239,8.49182,7.41831,0.000529513,4.04051,-0.0689678,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
88,5.57261,-0.226171,-0.0991966,6.20812,7.42541,0.00721686,3.38808,-0.225679,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
89,6.78841,-0.153673,-0.113764,7.34903,7.36824,0.0034636,3.36427,-0.183674,0.0324747,0.113616,0.77039,0.123048,0.196285,-14.301,0.614121,-0.096427,3.70956,-0.240358
