id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
54,-2.8654,0.120563,0.0167203,0.0236734,0.064222,0.000386174,-0.648619,-0.00521322,0.191971,0.0503982,-0.0542415,0.126134,-23.6872,3.7092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1.00534,-0.0138149,0.0104787,-0.0659529,-0.0042187,0.000769403,-0.585082,0.0741589,-1.16912,-0.0011383,0.0242943,0.00109042,-17.2091,0.254807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.43814,0.0797885,-0.0478134,0.310952,0.0223636,0.000873091,0.50308,0.0433315,0.0856178,0.0213627,0.784149,-0.0240298,-8.25991,-0.51127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1.93392,-0.00586524,0.00175193,0.0363537,0.00404539,0.000209529,-0.438597,-0.0228322,-2.21196,-0.00289278,-0.0017787,0.00676744,52.6716,-0.293487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.2784,0.148919,-0.0291714,0.291172,-0.0226778,0.000649756,-1.57096,0.00569523,2.50701,-0.0357968,-0.833028,-0.0623046,78.2582,0.261591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.723064,0.0597026,-0.0281542,0.130184,0.0216543,0.000598524,0.171096,-0.0351867,-0.793421,0.0162077,0.136996,0.085128,-29.3583,-0.101032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-1.09571,-0.0563246,0.0285061,0.0405399,-0.0259795,0.00125746,-0.2503,-0.0727724,-2.59742,0.0109598,1.59647,0.0939903,80.0986,0.245742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-1.38303,-0.0426971,0.0851283,0.0167348,-0.0216691,0.000240298,-0.94256,-0.103937,0.813648,-0.00294914,1.1758,-0.0116686,28.4839,-9.38918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-1.57612,-0.0186731,-0.00871366,-0.0304158,-0.0477697,-0.000590152,-0.964827,-0.0317357,-0.219669,0.000432627,0.424671,0.00315651,14.4027,0.0246275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-1.77608,-0.0323227,-0.00347252,-0.140646,0.053364,0.0034896,0.616031,0.0749964,-3.22469,0.00992014,-0.0364263,-0.0026772,115.554,2.15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2.87751,0.0239354,-0.0211012,-0.0838646,-0.0631373,0.00124445,0.237717,0.32279,0.517193,0.0239709,-0.334462,0.0569228,-34.9106,-5.75597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.845774,-0.233118,0.0265584,0.790397,-0.00814811,-0.00575892,1.25334,0.15233,0.290446,-0.0190755,0.37652,0.0458187,-59.5627,-1.29391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1.46215,0.0242305,-0.0294525,0.00574654,0.0156249,0.0020181,0.0884048,0.103343,-1.99353,0.00826724,-0.0923261,-0.0149741,98.313,-0.867403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-3.46178,0.0076009,-0.00591791,-0.288246,-0.0271343,-0.00180372,0.406093,-0.103747,2.22167,-0.025523,-0.251146,-0.0116932,59.0696,-0.345576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2.1725,-0.0289207,-0.00575858,-0.0667406,-0.0311956,0.000806575,0.356308,0.0293176,-1.04793,0.0512711,0.559219,-0.052729,28.2642,-3.11265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,-0.678329,-0.01328,0.00230558,-0.0820581,-0.010274,-4.2408e-05,-0.624798,-0.0228834,0.707179,-0.0064367,0.0970584,0.00648221,-120.409,-0.0122508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-3.06362,-0.0123509,-0.00212838,-0.165074,0.0732767,-0.00554991,-0.075528,0.156484,0.327572,-0.0319407,-0.615431,-0.0324096,-194.599,5.5507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2.28944,-0.066827,0.000804254,-0.198065,0.010664,-0.00389643,0.140995,-0.136518,0.854171,-0.0210331,-0.329847,-0.144645,-65.6683,2.22192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
