id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha22_SAEM,alpha23_SAEM
174,7.39883,-0.00361048,4.73436,0.0277181,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
175,7.37047,0.00166512,4.15742,-0.282917,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
176,7.44773,0.00462265,5.07716,-0.11854,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
177,7.42806,0.00351312,3.73671,-0.153508,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
178,7.39772,0.00384856,4.35735,-0.197659,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
179,7.3964,0.00438169,4.25411,-0.0894074,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
180,7.42319,0.00112964,4.36035,-0.0177019,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
181,7.41484,0.00380118,4.52254,-0.169344,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
182,7.35587,0.000226116,3.35963,-0.021178,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
183,7.39181,0.00301202,5.27639,0.0100644,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
184,7.38669,-0.00455969,3.98588,0.0513909,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
185,7.40657,0.00159773,4.37081,-0.0981856,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
186,7.39795,-0.00195124,4.11549,-0.137973,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
187,7.45076,0.0126773,4.94646,-0.0733704,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
188,7.39442,0.000742773,5.15458,-0.308589,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
189,7.42483,0.00324419,4.21593,-0.132497,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
190,7.37805,0.00496817,4.08381,-0.126071,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
191,7.38828,0.00201502,4.28656,-0.100663,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
192,7.43218,0.00643182,4.6637,-0.0484307,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
193,7.4005,0.00271949,4.62462,-0.0840129,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
194,7.40998,0.00384977,4.868,-0.168371,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
195,7.40772,0.00280893,3.90063,-0.12498,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
196,7.36766,-0.00126126,4.87357,-0.22308,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
197,7.42707,0.00564322,3.2453,-0.0493006,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
198,7.3836,0.00347527,3.7704,-0.290542,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
199,7.41663,0.00507359,4.90833,-0.062375,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
200,7.40406,0.00424902,3.30377,-0.124704,0.0771032,0.0568525,0.739808,0.150102,-11.5349,0.463257,4.72356,-0.124944
