id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
53,0.0165023,0.00535354,-0.0749684,-0.0104867,0,0,0,0,0,0,0,0
54,0.0214213,0.000220734,-0.645062,-0.00690533,0,0,0,0,0,0,0,0
55,0.0100217,0.000473978,-0.543977,-0.0257189,0,0,0,0,0,0,0,0
56,-0.00171788,-0.00364543,0.291171,0.0527757,0,0,0,0,0,0,0,0
57,0.0282525,-0.0033288,-1.16219,-0.0368225,0,0,0,0,0,0,0,0
58,-0.0597794,-0.00229267,1.32619,0.0196253,0,0,0,0,0,0,0,0
59,-0.0222478,0.000694089,0.993028,-0.0683216,0,0,0,0,0,0,0,0
60,0.032599,0.000166608,-0.680009,-0.0224621,0,0,0,0,0,0,0,0
61,0.0234266,0.00116387,1.27515,0.105499,0,0,0,0,0,0,0,0
62,-0.0149718,-0.000393151,0.899318,0.10076,0,0,0,0,0,0,0,0
63,-0.0466881,-0.00300218,-0.115912,0.221211,0,0,0,0,0,0,0,0
64,0.0694209,0.0023079,-0.0973816,-0.0952923,0,0,0,0,0,0,0,0
65,-0.000484831,0.00301942,-0.290387,0.0726024,0,0,0,0,0,0,0,0
66,-0.0166545,0.00326918,0.17324,0.160949,0,0,0,0,0,0,0,0
67,-0.00688714,0.000165142,-1.4886,-0.00924176,0,0,0,0,0,0,0,0
68,0.000509251,0.00203237,-0.335243,0.0459862,0,0,0,0,0,0,0,0
69,-0.0333687,-0.00746111,1.22682,0.266264,0,0,0,0,0,0,0,0
70,-0.024513,-0.00992746,0.368528,0.0049041,0,0,0,0,0,0,0,0
71,0.0140249,0.00108772,0.273123,-0.140006,0,0,0,0,0,0,0,0
72,0.0167002,0.00201876,0.405089,-0.0431382,0,0,0,0,0,0,0,0
73,0.0650419,-0.00498257,1.04018,0.0639605,0,0,0,0,0,0,0,0
74,-0.0291908,-0.00239375,0.282047,-0.0684258,0,0,0,0,0,0,0,0
75,0.0659061,-0.00116089,-0.207482,-0.00783665,0,0,0,0,0,0,0,0
76,0.0550137,0.0026747,-0.151867,-0.0553961,0,0,0,0,0,0,0,0
77,-0.0214184,-0.00243271,-0.107685,0.0220786,0,0,0,0,0,0,0,0
78,0.0382534,0.00403503,-1.15883,0.0631746,0,0,0,0,0,0,0,0
79,0.0238922,0.00138754,-0.330816,-0.110218,0,0,0,0,0,0,0,0
80,-0.00554794,0.00345769,0.351912,-0.10312,0,0,0,0,0,0,0,0
81,0.00519943,-0.00542619,0.451266,0.11555,0,0,0,0,0,0,0,0
82,-0.0232147,0.0012286,0.746538,-0.0164246,0,0,0,0,0,0,0,0
83,0.0490751,0.00407413,-1.11366,-0.0727477,0,0,0,0,0,0,0,0
84,-0.0317666,-0.000966542,0.0668362,-0.057892,0,0,0,0,0,0,0,0
85,0.0621811,0.00650116,1.80531,0.0667065,0,0,0,0,0,0,0,0
86,-0.00257406,-0.000176891,-1.32124,0.00700658,0,0,0,0,0,0,0,0
87,-0.0247563,0.000500423,-0.871853,-0.0927557,0,0,0,0,0,0,0,0
88,0.0176961,0.00220738,0.511322,-0.0689526,0,0,0,0,0,0,0,0
89,0.0273551,9.49446e-05,0.532448,-0.00674219,0,0,0,0,0,0,0,0
90,-0.0205183,-0.000288099,-1.20256,-0.0552208,0,0,0,0,0,0,0,0
91,0.0250095,-0.00239961,1.56989,0.0258995,0,0,0,0,0,0,0,0
92,0.0627699,0.00621174,-0.62279,-0.20365,0,0,0,0,0,0,0,0
93,0.0117961,-0.00577421,0.671978,-0.0230303,0,0,0,0,0,0,0,0
94,-0.0706242,0.00325864,-0.247365,0.160914,0,0,0,0,0,0,0,0
95,0.0539919,0.00885943,-0.638393,-0.056833,0,0,0,0,0,0,0,0
96,0.0192807,0.00158613,0.190252,0.022887,0,0,0,0,0,0,0,0
97,0.0274309,0.000457432,0.557978,-0.00214781,0,0,0,0,0,0,0,0
